data_movimento, data_nf, codnota, numfilial, codbarra, codproduto, produto, codcor, codtamanho, quantity, price, valor_total, custo_medio, fufilled_quantity, total_sold_quantity, outbound_quantity, status, last_nota_status, codfilial
2023-05-22 00:00:00, 2023-05-16 00:00:00, 61132, 21102, 7898620271664, TPV-50U6125/78G, 219183, 000, U, 6.0, 1375.51, 8253.06, 1396.53, 6.0, 4.0, -2.0, p, f, TPV 
2023-11-24 00:00:00, 2023-11-16 00:00:00, 68167, 21102, 7898620271664, TPV-50U6125/78G, 219183, 000, U, 4.0, 1463.92, 5855.68, 1483.65, 0, 4.0, -6.0, n, t, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 61133, 21102, 7898620271695, TPV-43S5135/78G, 219182, 000, U, 10.0, 941.77, 9417.7, 956.16, 10.0, 4.0, -6.0, p, f, TPV 
2023-09-04 00:00:00, 2023-09-04 00:00:00, 78301, 21102, 7898620271695, TPV-43S5135/78G, 219182, 000, U, 1.0, 1999.0, 1999.0, 956.16, 0, 4.0, -7.0, n, t, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 15637, 21102, 4895229125605, TPV-ZA675B6A/59, 219327, 000, U, 200.0, 7.45, 1490.0, 8.89, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 15634, 21102, 4895229119529, TPV-R6B2RTU25/59, 219329, 000, U, 80.0, 19.99, 1599.1999999999998, 23.84, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 15638, 21102, 4895229115958, TPV-TAT1235BK/97, 219355, 000, U, 18.0, 103.81, 1868.58, 117.4, 18.0, 5.0, -13.0, p, f, TPV 
2023-12-16 00:00:00, 2023-12-16 00:00:00, 78831, 21102, 4895229115958, TPV-TAT1235BK/97, 219355, 000, U, 1.0, 139.0, 139.0, 117.4, 0, 5.0, -14.0, n, t, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 15639, 21102, 4895229117570, TPV-TAA3206BK/00, 219333, 000, U, 24.0, 89.71, 2153.04, 101.46, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 15622, 21102, 4895229119444, TPV-CR2025P5B/59, 219322, 000, U, 200.0, 3.25, 650.0, 3.88, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 15625, 21102, 4895229119482, TPV-R03B2RTU10/59, 219376, 000, U, 180.0, 10.19, 1834.1999999999998, 12.15, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 15624, 21102, 4895229119499, TPV-R03B4RTU10/59, 219377, 000, U, 180.0, 18.46, 3322.8, 22.02, 180.0, 4.0, -176.0, p, t, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 15623, 21102, 4895229119437, TPV-CR2016P5B/59, 219321, 000, U, 200.0, 3.25, 650.0, 3.88, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 15631, 21102, 4895229100589, TPV-TAUE101BK/00, 219362, 000, U, 96.0, 13.62, 1307.52, 15.4, 96.0, 2.0, -94.0, p, t, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 15632, 21102, 4895229119512, TPV-R6B4RTU10/59, 219374, 000, U, 80.0, 18.3, 1464.0, 21.83, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 61141, 21102, 7898620271411, TPV-70PUG7406/78, 219196, 000, U, 3.0, 2819.04, 8457.119999999999, 2862.12, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 61144, 21102, 7898620271435, TPV-65PUG7906/78, 219194, 000, U, 6.0, 2490.64, 14943.84, 2528.7, 6.0, 2.0, -4.0, p, t, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 61140, 21102, 7898620271534, TPV-50PUG7907/78, 219188, 000, U, 6.0, 1707.01, 10242.06, 1733.09, 6.0, 6.0, 0.0, f, t, TPV 
2023-05-22 00:00:00, 2023-05-16 00:00:00, 61142, 21102, 7898620271404, TPV-65PUG7406/78, 219193, 000, U, 6.0, 2260.75, 13564.5, 2295.29, 6.0, 2.0, -4.0, p, t, TPV 
2023-05-22 00:00:00, 2023-05-17 00:00:00, 15643, 21102, 4895229119352, TPV-LR03P4B/59, 219313, 000, U, 36.0, 3.21, 115.56, 3.83, 36.0, 2.0, -34.0, p, f, TPV 
2023-12-16 00:00:00, 2023-12-16 00:00:00, 78831, 21102, 4895229119352, TPV-LR03P4B/59, 219313, 000, U, 1.0, 9.9, 9.9, 3.83, 0, 2.0, -35.0, n, t, TPV 
2023-05-22 00:00:00, 2023-05-17 00:00:00, 15643, 21102, 4895229123922, TPV-LR6P10BP/59, 219314, 000, U, 24.0, 9.01, 216.24, 10.75, 24.0, 10.0, -14.0, p, f, TPV 
2023-12-16 00:00:00, 2023-12-16 00:00:00, 78831, 21102, 4895229123922, TPV-LR6P10BP/59, 219314, 000, U, 1.0, 19.9, 19.9, 10.75, 0, 10.0, -15.0, n, t, TPV 
2023-05-22 00:00:00, 2023-05-17 00:00:00, 15643, 21102, 4895229119383, TPV-LR6P16B/59, 219315, 000, U, 32.0, 13.59, 434.88, 16.21, 32.0, 5.0, -27.0, p, t, TPV 
2023-05-22 00:00:00, 2023-05-17 00:00:00, 15643, 21102, 4895229119369, TPV-LR6P2B/59, 219316, 000, U, 36.0, 2.05, 73.8, 2.44, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-17 00:00:00, 15643, 21102, 4895229119376, TPV-LR6P4B/59, 219317, 000, U, 36.0, 3.93, 141.48000000000002, 4.69, 36.0, 2.0, -34.0, p, t, TPV 
2023-05-22 00:00:00, 2023-05-17 00:00:00, 15643, 21102, 4895229123908, TPV-LR14P2B/59, 219302, 000, U, 24.0, 5.84, 140.16, 6.97, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-17 00:00:00, 15643, 21102, 4895229123915, TPV-LR20P2B/59, 219303, 000, U, 24.0, 9.4, 225.60000000000002, 11.21, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-17 00:00:00, 15644, 21102, 4895229111912, TPV-TAH9505BK/00, 219348, 000, U, 3.0, 514.59, 1543.77, 581.97, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-17 00:00:00, 15644, 21102, 4895229102781, TPV-X3/00, 219373, 000, U, 4.0, 796.8, 3187.2, 901.13, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-17 00:00:00, 15642, 21102, 4895229110038, TPV-TAH1205BK/00, 219341, 000, U, 3.0, 74.97, 224.91, 84.79, 3.0, 9.0, 6.0, f, f, TPV 
2023-10-20 00:00:00, 2023-10-10 00:00:00, 17135, 21102, 4895229110038, TPV-TAH1205BK/00, 219341, 000, U, 6.0, 75.39, 452.34000000000003, 85.26, 6.0, 9.0, 0.0, f, t, TPV 
2023-05-22 00:00:00, 2023-05-17 00:00:00, 15642, 21102, 4895229117365, TPV-TAH3155BK/97, 219342, 000, U, 10.0, 120.16, 1201.6, 135.89, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-17 00:00:00, 15642, 21102, 4895229117594, TPV-TAH6506BK/00, 219346, 000, U, 3.0, 197.01, 591.03, 222.81, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-17 00:00:00, 15642, 21102, 4895229118546, TPV-TAH8506BK/00, 219347, 000, U, 3.0, 327.2, 981.5999999999999, 370.04, None, None, None, e, f, TPV 
2023-05-22 00:00:00, 2023-05-17 00:00:00, 15642, 21102, 4895229100527, TPV-TAUH201BK/00, 219364, 000, U, 6.0, 44.81, 268.86, 50.68, 6.0, 1.0, -5.0, p, t, TPV 
2023-05-26 00:00:00, 2023-05-18 00:00:00, 15657, 21102, 7898620270889, TPV-276E8VJSB, 219298, 000, U, 2.0, 1396.41, 2792.82, 1348.3, None, None, None, e, f, TPV 
2023-05-26 00:00:00, 2023-05-19 00:00:00, 15685, 21102, 4895229119543, TPV-SCB2445NB/59, 219330, 000, U, 6.0, 73.54, 441.24, 88.78, 6.0, 2.0, -4.0, p, t, TPV 
2023-05-26 00:00:00, 2023-05-19 00:00:00, 15686, 21102, 4895229116696, TPV-DLP3520N/11, 219311, 000, U, 65.0, 35.85, 2330.25, 43.28, None, None, None, e, f, TPV 
2023-05-26 00:00:00, 2023-05-19 00:00:00, 15688, 21102, 4895229108158, TPV-TAX3705/78, 219370, 000, U, 2.0, 897.28, 1794.56, 1014.76, None, None, None, e, f, TPV 
2023-05-26 00:00:00, 2023-05-19 00:00:00, 15687, 21102, 4895229100572, TPV-TAUE101WT/00, 219363, 000, U, 96.0, 14.19, 1362.24, 16.05, 96.0, 1.0, -95.0, p, t, TPV 
2023-05-26 00:00:00, 2023-05-19 00:00:00, 15684, 21102, 4895229118836, TPV-TAX5206/78, 219371, 000, U, 3.0, 838.72, 2516.16, 948.54, None, None, None, e, f, TPV 
